Case Type,Cousulting Ferm,Industry Coverage,text,title
"business competition, competitive response | industry analysis",Samsung Global Strategy Group (GSG) ,chemical industry,"Case Interview Question #01216: Our client Karnalyte Resources Inc. (TSX: KRN) is a Canada-based chemical company engaged in the business of exploration and development of agricultural and industrial potash. Potash is any of various mined and manufactured salts that contain potassium in water-soluble form. The name derives from pot ash, which refers to plant ashes soaked in water in a pot, the primary means of manufacturing the product before the industrial era.
Karnalyte Resources is a junior potash producer. On the morning of July 30th this year, Uralkali, the dominant Russian potash producer announced that it was separating from its partner, Belaruskali. What will this event do to the global potash industry? And how should our client Karnalyte Resources respond to this event?
",Potash Producer Karnalyte Resources to Liquidate Assets
market sizing | math problem,American Express,Financial Services,"Case Interview Question #01215: The American Express Company (NYSE: AXP) is a financial services company which today is best known for its credit card business. American Express is the largest card issuer in the world based on purchase volume. It is the 4th largest card network in the world, based on  the number of cards it has in circulation. Sometimes called Amex cards, these credit cards make up nearly 20% of all credit card transactions in the world.
Unlike its bigger competitors, Visa and MasterCard, American Express does not allow its cardholders to carry a monthly balance – Amex cardholders must pay off their balances each month. Consequently, American Express does not earn interest fees from its cardholders. Instead, American Express charges cardholders an annual membership fee of $55.
Recently, the American Express Company has experienced increased competition in the credit card market. In response to this, American Express is considering dropping its annual fee of $55. My question for you is: should American Express drop its fee?
",Should American Express Drop Annual Membership Fee?
new business | estimate or guesstimate,Huron Consulting Group," telecommunications, network","Case Interview Question #01214: Our client Mobilicity Inc. is a Canadian telecommunications company based in Vaughan, Ontario. Mobilicity is one of 4 new entrants who purchased wireless spectrum in the recent federal auction, along with Wind Mobile, Public Mobile and Freedom Mobile. What do they need to do next?
Part II: Switching gears, I want you to discuss our target customers. With this segment in mind, estimate our client Mobilicity’s revenue potential for its second year of operations.
Part III: Launching the wireless service in Canada will cost approximately $1 billion. How can our client Mobilicity minimize these start-up costs?
",Mobilicity to Become Canada’s Newest Wireless Carrier
organizational behavior | increase sales,Huron Consulting Group,"oil, gas, petroleum industry","Case Interview Question #01213: Your client Petro Canada is a retail subsidiary and wholesale marketing brand of oil and gas company Suncor Energy (TSX: SU, NYSE: SU). Headquartered at the Petro-Canada Center in Calgary, Alberta, Petro Canada is the second largest downstream oil and gas company in Canada.
Petro Canada has a gasoline sales team. Each sales person has a client base of approximately 15 to 20 independent gas station owners. When the sales people call the gas station owners, what should they talk to them about?
Part II: Estimate the change in profit for a single gas station if the station owner dropped its gas prices by 2¢ per liter (assume competitors do not match prices).
",Petro Canada to Drop Retail Gas Price by 2 Cents
"business competition, competitive response | mergers & acquisitions  ",Mercer,mining & metals production,"Case Interview Question #01212: Your client IMC Global (also known as International Minerals and Chemical Corporation) is a raw materials mining and production company headquartered in Lake Forest, Illinois, United States. IMC Global is in the worldwide Kryptonite mining business. Kryptonite is a powerful radioactive mineral (the presence of which weakens the superhero Superman) appearing in Superman comics and movies. Kryptonite has been featured in a variety of forms and colors (each with its own effect) in DC Comics publications and other media.
The client IMC Global is considering an acquisition of one of their competitors. Should they proceed, and if so, what is the maximum they should pay?
",Kryptonite Mining Firm IMC Global to Buy Competitor
"business competition, competitive response | new business",ClearView Healthcare Partners,"healthcare: pharmaceutical, biotech, life sciences","Case Interview Question #01211: Merck & Co., Inc. (NYSE: MRK) is one of the largest global pharmaceutical companies in the world by market capitalization and revenue. Its headquarters is located in Kenilworth, New Jersey, United States. Our client is Merck Canada, the Canadian subsidiary of Merck & Co. For this case, we will be talking about the Canadian pharmaceutical industry and Merck’s business in Canada only.
The CEO of Merck Canada is worried because the patent of their blockbuster drug Vioxx (a painkiller) expires in 3 years. Recently a generic drug maker brought our client to court regarding the legitimacy of its blockbuster drug Vioxx’s patent. Our client Merck Canada lost which means it could lose its patent within 12 months. Also, our client has nothing exciting in the R&D pipeline. What should they do?
Part II: What is the potential profitability for our client if they do decide  to compete in the generic market? Should they do it?
",Merck Canada to Compete in Generic Painkiller Market
math problem | estimate or guesstimate,Oliver Wyman,restaurant & food service,"Case Interview Question #01210: Tim Hortons Inc. (known internationally as Tim Hortons Cafe and Bake Shop) is a Canadian fast food restaurant known for its coffee and donuts. It is also Canada’s largest quick service restaurant chain. As of June, 2013, Tim Hortons has more than 4,300 restaurants, including 3,400 in Canada, and 807 in the United States. The company is headquartered in Oakville, Ontario, Canada.
The year is 2012. In Canada, Tim Hortons does not currently accept Visa cards. Should it?
",Coffee Chain Tim Hortons to Begin Accepting Visa Cards
new business | math problem,Alvarez Marsal,"agriculture, farming, aquaculture | alcohol","Case Interview Question #01209: Mexico is a federal republic in the southern portion of North America. It is bordered to the north by the United States; to the south and west by the Pacific Ocean; to the southeast by Guatemala, Belize, and the Caribbean Sea; and to the east by the Gulf of Mexico. Covering almost two million square kilometers (over 760,000 sq mi), Mexico is the sixth largest country in the Americas by total area and the 13th largest independent nation in the world.
Your client is a farmer living in Mexico who enjoys drinking alcoholic beverage occasionally. He has recently inherited 20 acres of land from a distant relative. Since he was until recently a poor man, with little business knowledge, he has hired you to determine how to get the most profits out of the 20 acres of land. What would you recommend?
",Mexican Farmer to Grow Crops for Alcohol Production
new business | growth strategy,Ernst & Young (EY) Advisory,"aerospace, defense | software, information technology (IT)","Case Interview Question #01208: Your client is CAE Inc. (formerly Canadian Aviation Electronics, TSX: CAE, NYSE: CAE), a Canadian manufacturer of flight simulation technologies, modelling technologies and training services to airlines, aircraft manufacturers, defense customers, and healthcare specialists. Founded in 1947, CAE has manufacturing operations and training facilities in 35 countries. The company is headquartered in Montreal, Quebec, Canada.
CAE is a major manufacturer of flight simulators for private airlines and several countries’ militaries. However, growth in this market has begun to slow, especially in the military segment. The CEO of CAE has hired your consulting firm to devise a strategy to put them back on the path of growth. Specifically, the CEO wants to focus on ways to profitably grow revenues, rather than cutting costs. How would you go about it?
",CAE to Enter Architectural and Geological Segments
"business competition, competitive response",Capital One,banking | financial services,"Case Interview Question #01207: Your client Citizens Bank of Canada is a Canadian mid-market retail bank specializing in loans to small industrial businesses. Headquartered in Vancouver, British Columbia, the bank operates six branches, one each in Calgary, Vancouver, Ottawa, Montreal, Edmonton, and Toronto.
The niche market of industrial loans in Canada has been seen as too small for the big banks and thus the client has not seen significant competition. Recently, However, a new financial services startup company named Element Financial Inc. has entered this niche market with a unique business model. Your client Citizens Bank of Canada wants to know how they should respond the competition.
Note: This industry uses return on equity (ROE) as the key metric of success.
",Citizens Bank of Canada Responds to Competitive Threat
new business,Capital One,banking | financial services,"Case Interview Question #01206: Your client The Bank of Nova Scotia (TSX: BNS, NYSE: BNS), operating as Scotiabank, is one of the “Big Five” Canadian banks. As of 2017 it is the third largest bank in Canada by deposits and market capitalization. It serves more than 23 million customers in over 55 countries around the world and offers a range of products and services including personal and commercial banking, corporate and investment banking.
In recent years, the client Scotiabank has found that growth in their current businesses has not been as fast as they would like it to be and recent regulatory changes have made them less profitable as well. As such, they would like to move into the wealth management business as a way of generating additional profits and have hired our firm to figure out how to do so. How would you advise the client?
",Scotiabank to Offer Wealth Management Service
